ID,Latitude,Longitude,Area_m2,FuelPovertyIndex,SolarIrradiance,GridDistance,Zone,ExistingProjects,AvailableFrom
S03222,53.392778,-1.479444,30700,15.6,1180.31,350,CENTRAL,1,2025
S00746,53.38666,-1.46888,31300,12.7,1158.88,473,CENTRAL,1,2025
S00783,53.3831,-1.4486,22200,12.7,1172.35,149,CENTRAL,0,2025
S02056,53.41556,-1.39167,28100,12.7,1180.42,2896,EAST,0,2025
S02510,53.3872,-1.4292,42300,17.7,1175.54,1148,EAST,1,2025
S00715,53.3736,-1.4369,37400,12.7,1172.22,700,EAST,0,2025
S03183,53.3725,-1.4231,61400,12.7,1172,1519,EAST,0,2025
S00719,53.361667,-1.450556,34200,20.2,1154.84,335,EAST,0,2030
S01450,53.3572,-1.4406,16700,20.2,1175.03,517,EAST,0,2030
S04381,53.455278,-1.479167,73200,13.5,1176.56,1490,NORTH,1,2025
S03203,53.4281,-1.5003,38300,17.2,1174.23,2080,NORTHEAST,1,2025
S00671,53.4869,-1.6161,84000,17.9,1151.08,4027,NORTHEAST,0,2025
S03481,53.445,-1.5503,133000,10.1,1140.43,1022,NORTHWEST ,0,2025
S01179,53.4264,-1.5453,20300,9.1,1158.02,1709,NORTHWEST ,0,2025
S00733,53.3439,-1.4503,20000,14.2,1169.22,181,SOUTH,0,2025
S00062,53.3411,-1.4483,24600,14.2,1179.49,143,SOUTH,0,2025
S00700,53.3678,-1.4178,25400,12.4,1173.31,1402,SOUTHEAST,0,2025
S01467,53.3514,-1.39,94800,13.4,1176.63,1417,SOUTHEAST,1,2025
S03214,53.341667,-1.393889,64900,13.4,1183.52,1391,SOUTHEAST,0,2030
S00737,53.3386,-1.3775,28800,14.6,1179.64,991,SOUTHEAST,0,2025
S00806,53.3556,-1.3556,101400,11.2,1176.98,1414,SOUTHEAST,0,2025
S02703,53.34553,-1.4117,20900,13.4,1173.57,458,SOUTHEAST,0,2030
S04446,53.493056,-1.645,46500,10.1,1153.06,3483,NORTHEAST,0,2025
S04492,53.4864,-1.6275,33400,10.1,1153.3,3443,NORTHEAST,0,2025
S00788,53.4825,-1.6125,17100,10.1,1155.43,3929,NORTHEAST,0,2025
S04143,53.4761,-1.5761,68800,10.1,1162.19,3309,NORTHEAST,1,2025
S03193,53.481778,-1.589449,242100,10.1,1136.52,4113,NORTHEAST,1,2025
